Index,Company name,Rating,Company type,Sector,Old,Company location,Employees,Reviews
482,MPS Limited,4, Public ,Printing & Publishing , 53 years old , Noida +19 more, 1k-5k Employees ,462 Reviews
483,Prism Johnson,3.9, Public ,Building Material , 31 years old , Mumbai +89 more, 1k-5k Employees ,460 Reviews
484,JK Paper,4, Public ,Pulp & Paper , 61 years old , Delhi/NCR +30 more, 1k-5k Employees ,459 Reviews
485,Balkrishna Industries,4.1, Public ,Auto Components , 36 years old , Mumbai +13 more, 1k-5k Employees ,458 Reviews
486,Electrotherm,4.2, Public ,Iron & Steel , 40 years old , Ahmedabad +26 more, 1k-5k Employees ,456 Reviews
487,Rane Engine Valve Limited,3.9, Public ,Auto Components , 64 years old , Chennai +14 more, 1k-5k Employees ,456 Reviews
488,Parag Milk Foods,3.9, Public ,FMCG , 31 years old , Mumbai +54 more, 1k-5k Employees ,455 Reviews
489,Educomp Solutions,3.5, Public ,EdTech , 29 years old , Gurgaon/Gurugram +107 more, 11-50 Employees ,455 Reviews
490,Icon Plc,4.1, Public ,Clinical Research , 33 years old , Dublin +13 more, 1k-5k Employees ,455 Reviews
491,Welspun World,3.9, Public ,Building Material , 38 years old , Mumbai +42 more, 1k-5k Employees ,454 Reviews
492,Magna International,4, Public ,IT Services & Consulting , 66 years old , Aurora +16 more, 5k-10k Employees ,454 Reviews
493,Courtyard by Marriott,4.2, Public ,Hospitality , 96 years old , Bethesda +35 more, 1k-5k Employees ,451 Reviews
494,Shivam Autotech,3.6, Public ,Auto Components , 25 years old , Gurgaon/Gurugram +16 more, 501-1k Employees ,449 Reviews
495,Wapcos,3.7, State ,Engineering & Construction , 54 years old , Gurgaon/Gurugram +107 more, 1k-5k Employees ,449 Reviews
496,NRB Bearings,4.1, Public ,Auto Components , 58 years old , Mumbai +17 more, 1k-5k Employees ,447 Reviews
497,Ramky Infrastructure,4.1, Public ,Real Estate , 29 years old , Hyderabad +42 more, 1k-5k Employees ,445 Reviews
498,Poly Medicure,3.7, Public ,Medical Equipment , 26 years old , Delhi/NCR +28 more, 5k-10k Employees ,444 Reviews
499,Quantiphi Analytics Solutions,3.3, Startup ,IT Services & Consulting , 10 years old , Mumbai +8 more, 1k-5k Employees ,443 Reviews
500,Orient Electric,3.9, Public ,Consumer Electronics & Appliances , 69 years old , Delhi/NCR +42 more, 501-1k Employees ,442 Reviews
501,Inox Wind,3.5, Public ,Electrical Equipment , 14 years old , Noida +36 more, 501-1k Employees ,442 Reviews
502,MAS Financial Services,3.7, Public ,Financial Services , 28 years old , Ahmedabad +85 more, 1k-5k Employees ,442 Reviews
503,Steel Authority Of India,4, Public ,Iron & Steel , 69 years old , Delhi/NCR +29 more, 10k-50k Employees ,441 Reviews
504,BT E Serv,4.2, Public ,Telecom , 16 years old , Delhi/NCR +5 more, 201-500 Employees ,440 Reviews
505,uFaber,3, Startup ,Education & Training , 10 years old , Mumbai +14 more, 1k-5k Employees ,439 Reviews
506,HIL,4, Public ,Building Material , 77 years old , Hyderabad/Secunderabad +55 more, 1k-5k Employees ,439 Reviews
507,Ongc Petro Additions,3.9, Public ,Petrochemicals , 17 years old , Vadodara/Baroda +22 more, 1k-5k Employees ,438 Reviews
508,Dhanuka Agritech,3.7, Public ,Agro Chemicals , 41 years old , Gurgaon/Gurugram +74 more, 1k-5k Employees ,438 Reviews
